date,state_held,state_signal,w_TECL,w_XLK,w_BIL,ret_gross,cost,ret_net,equity,drawdown,XLK_ret,TECL_ret,BIL_ret
2009-01-02,,BIL,,,,0.0,0.0,0.0,1.0,0.0,0.037638,0.120258,0.000218
2009-01-05,BIL,BIL,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,-0.003128,0.007565,0.0
2009-01-06,BIL,BIL,0.0,0.0,1.0,0.00022,0.0,0.00022,1.0002,0.0,0.023217,0.088309,0.00022
2009-01-07,BIL,BIL,0.0,0.0,1.0,0.001528,0.0,0.001528,1.0017,0.0,-0.03189,-0.105125,0.001528
2009-01-08,BIL,BIL,0.0,0.0,1.0,-0.00109,0.0,-0.00109,1.0007,-0.0011,0.006975,0.015419,-0.00109
2009-01-09,BIL,BIL,0.0,0.0,1.0,0.000654,0.0,0.000654,1.0013,-0.0004,-0.02202,-0.066161,0.000654
2009-01-12,BIL,BIL,0.0,0.0,1.0,-0.000436,0.0,-0.000436,1.0009,-0.0009,-0.018,-0.03794,-0.000436
2009-01-13,BIL,BIL,0.0,0.0,1.0,0.001309,0.0,0.001309,1.0022,0.0,-0.004582,-0.022535,0.001309
2009-01-14,BIL,BIL,0.0,0.0,1.0,0.000218,0.0,0.000218,1.0024,0.0,-0.030264,-0.097571,0.000218
2009-01-15,BIL,BIL,0.0,0.0,1.0,0.000218,0.0,0.000218,1.0026,0.0,0.006787,0.019617,0.000218
2009-01-16,BIL,BIL,0.0,0.0,1.0,-0.000653,0.0,-0.000653,1.002,-0.0007,0.006741,0.036242,-0.000653
2009-01-20,BIL,BIL,0.0,0.0,1.0,-0.001743,0.0,-0.001743,1.0002,-0.0024,-0.040834,-0.153713,-0.001743
2009-01-21,BIL,BIL,0.0,0.0,1.0,0.001746,0.0,0.001746,1.002,-0.0007,0.048143,0.147959,0.001746
2009-01-22,BIL,BIL,0.0,0.0,1.0,0.000218,0.0,0.000218,1.0022,-0.0004,-0.022638,-0.052444,0.000218
2009-01-23,BIL,BIL,0.0,0.0,1.0,-0.000218,0.0,-0.000218,1.002,-0.0007,0.014317,0.046904,-0.000218
2009-01-26,BIL,BIL,0.0,0.0,1.0,-0.000218,0.0,-0.000218,1.0017,-0.0009,0.012079,0.02509,-0.000218
2009-01-27,BIL,BIL,0.0,0.0,1.0,-0.000436,0.0,-0.000436,1.0013,-0.0013,0.005968,0.040647,-0.000436
2009-01-28,BIL,BIL,0.0,0.0,1.0,-0.000436,0.0,-0.000436,1.0009,-0.0017,0.028378,0.099538,-0.000436
2009-01-29,BIL,BIL,0.0,0.0,1.0,0.0,0.0,0.0,1.0009,-0.0017,-0.029507,-0.092819,0.0
2009-01-30,BIL,BIL,0.0,0.0,1.0,0.000872,0.0,0.000872,1.0017,-0.0009,-0.029753,-0.083789,0.000872
2009-02-02,BIL,BIL,0.0,0.0,1.0,0.000602,0.0,0.000602,1.0024,-0.0003,0.015677,0.032629,0.000602
2009-02-03,BIL,BIL,0.0,0.0,1.0,-0.000871,0.0,-0.000871,1.0015,-0.0011,0.020111,0.049399,-0.000871
2009-02-04,BIL,BIL,0.0,0.0,1.0,0.000654,0.0,0.000654,1.0021,-0.0005,-0.000648,0.020356,0.000654
2009-02-05,BIL,BIL,0.0,0.0,1.0,-0.000436,0.0,-0.000436,1.0017,-0.0009,0.015788,0.057357,-0.000436
2009-02-06,BIL,BIL,0.0,0.0,1.0,-0.001527,0.0,-0.001527,1.0002,-0.0024,0.034325,0.108097,-0.001527
2009-02-09,BIL,BIL,0.0,0.0,1.0,0.001311,0.0,0.001311,1.0015,-0.0011,0.002499,0.011706,0.001311
2009-02-10,BIL,BIL,0.0,0.0,1.0,-0.000218,0.0,-0.000218,1.0013,-0.0014,-0.040598,-0.121318,-0.000218
2009-02-11,BIL,BIL,0.0,0.0,1.0,-0.000218,0.0,-0.000218,1.001,-0.0016,0.001957,0.004789,-0.000218
2009-02-12,BIL,BIL,0.0,0.0,1.0,0.0,0.0,0.0,1.001,-0.0016,0.004547,0.020651,0.0
2009-02-13,BIL,BIL,0.0,0.0,1.0,0.000872,0.0,0.000872,1.0019,-0.0007,-0.004526,-0.010506,0.000872
2009-02-17,BIL,BIL,0.0,0.0,1.0,0.0,0.0,0.0,1.0019,-0.0007,-0.041593,-0.130948,0.0
2009-02-18,BIL,BIL,0.0,0.0,1.0,0.000218,0.0,0.000218,1.0021,-0.0005,0.000685,0.004072,0.000218
2009-02-19,BIL,BIL,0.0,0.0,1.0,0.0,0.0,0.0,1.0021,-0.0005,-0.024389,-0.091032,0.0
2009-02-20,BIL,BIL,0.0,0.0,1.0,0.0,0.0,0.0,1.0021,-0.0005,0.009719,0.000496,0.0
2009-02-23,BIL,BIL,0.0,0.0,1.0,-0.000218,0.0,-0.000218,1.0019,-0.0007,-0.046075,-0.126363,-0.000218
2009-02-24,BIL,BIL,0.0,0.0,1.0,-0.000654,0.0,-0.000654,1.0013,-0.0014,0.026682,0.085649,-0.000654
2009-02-25,BIL,BIL,0.0,0.0,1.0,-0.000436,0.0,-0.000436,1.0008,-0.0018,0.009118,0.007837,-0.000436
2009-02-26,BIL,BIL,0.0,0.0,1.0,0.000218,0.0,0.000218,1.001,-0.0016,-0.010442,-0.033696,0.000218
2009-02-27,BIL,BIL,0.0,0.0,1.0,0.000654,0.0,0.000654,1.0017,-0.0009,-0.007017,-0.00912,0.000654
2009-03-02,BIL,BIL,0.0,0.0,1.0,0.000586,0.0,0.000586,1.0023,-0.0003,-0.02408,-0.090417,0.000586
2009-03-03,BIL,BIL,0.0,0.0,1.0,-0.000218,0.0,-0.000218,1.0021,-0.0006,-0.009441,0.002976,-0.000218
2009-03-04,BIL,BIL,0.0,0.0,1.0,0.0,0.0,0.0,1.0021,-0.0006,0.026372,0.073591,0.0
2009-03-05,BIL,BIL,0.0,0.0,1.0,0.000218,0.0,0.000218,1.0023,-0.0003,-0.030689,-0.098397,0.000218
2009-03-06,BIL,BIL,0.0,0.0,1.0,-0.000218,0.0,-0.000218,1.0021,-0.0006,0.005153,-0.026977,-0.000218
2009-03-09,BIL,BIL,0.0,0.0,1.0,0.0,0.0,0.0,1.0021,-0.0006,-0.031498,-0.076875,0.0
2009-03-10,BIL,BIL,0.0,0.0,1.0,0.0,0.0,0.0,1.0021,-0.0006,0.057478,0.206143,0.0
2009-03-11,BIL,BIL,0.0,0.0,1.0,0.0,0.0,0.0,1.0021,-0.0006,0.022172,0.076967,0.0
2009-03-12,BIL,BIL,0.0,0.0,1.0,-0.000436,0.0,-0.000436,1.0016,-0.001,0.028709,0.080925,-0.000436
2009-03-13,BIL,BIL,0.0,0.0,1.0,-0.000218,0.0,-0.000218,1.0014,-0.0012,0.0,-0.010209,-0.000218
2009-03-16,BIL,BIL,0.0,0.0,1.0,-0.000218,0.0,-0.000218,1.0012,-0.0014,-0.00885,-0.043713,-0.000218
2009-03-17,BIL,BIL,0.0,0.0,1.0,0.000654,0.0,0.000654,1.0018,-0.0008,0.036375,0.107345,0.000654
2009-03-18,BIL,BIL,0.0,0.0,1.0,0.000218,0.0,0.000218,1.0021,-0.0006,0.013902,0.046382,0.000218
2009-03-19,BIL,BIL,0.0,0.0,1.0,-0.000654,0.0,-0.000654,1.0014,-0.0012,0.002624,0.016844,-0.000654
2009-03-20,BIL,BIL,0.0,0.0,1.0,0.000436,0.0,0.000436,1.0018,-0.0008,-0.015255,-0.051439,0.000436
2009-03-23,BIL,XLK,0.0,0.0,1.0,0.000218,0.0,0.000218,1.0021,-0.0006,0.059176,0.183824,0.000218
2009-03-24,XLK,XLK,0.0,1.0,0.0,-0.01633,0.001,-0.01733,0.9847,-0.0179,-0.01633,-0.039208,-0.000218
2009-03-25,XLK,XLK,0.0,1.0,0.0,0.005742,0.0,0.005742,0.9904,-0.0122,0.005742,-0.00202,0.000436
2009-03-26,XLK,XLK,0.0,1.0,0.0,0.026012,0.0,0.026012,1.0161,0.0,0.026012,0.119433,-0.000218
2009-03-27,XLK,XLK,0.0,1.0,0.0,-0.021637,0.0,-0.021637,0.9941,-0.0216,-0.021637,-0.075949,0.000218
2009-03-30,XLK,XLK,0.0,1.0,0.0,-0.030981,0.0,-0.030981,0.9633,-0.0519,-0.030981,-0.088454,-0.000218
2009-03-31,XLK,XLK,0.0,1.0,0.0,0.018921,0.0,0.018921,0.9816,-0.034,0.018921,0.050236,-0.000436
2009-04-01,XLK,XLK,0.0,1.0,0.0,0.028176,0.0,0.028176,1.0092,-0.0068,0.028176,0.07686,0.000165
2009-04-02,XLK,XLK,0.0,1.0,0.0,0.026152,0.0,0.026152,1.0356,0.0,0.026152,0.092255,-0.000655
2009-04-03,XLK,XLK,0.0,1.0,0.0,0.013955,0.0,0.013955,1.0501,0.0,0.013955,0.045881,0.000656
2009-04-06,XLK,XLK,0.0,1.0,0.0,-0.010183,0.0,-0.010183,1.0394,-0.0102,-0.010183,-0.030907,-0.000218
2009-04-07,XLK,XLK,0.0,1.0,0.0,-0.027809,0.0,-0.027809,1.0105,-0.0377,-0.027809,-0.083676,0.0
2009-04-08,XLK,XLK,0.0,1.0,0.0,0.014928,0.0,0.014928,1.0255,-0.0233,0.014928,0.05988,0.000436
2009-04-09,XLK,XLK,0.0,1.0,0.0,0.025119,0.0,0.025119,1.0513,0.0,0.025119,0.087571,-0.000654
2009-04-13,XLK,TECL,0.0,1.0,0.0,0.0,0.0,0.0,1.0513,0.0,0.0,-0.015909,0.000654
2009-04-14,TECL,TECL,0.75,0.0,0.25,-0.018667,0.001,-0.019667,1.0306,-0.0197,-0.010757,-0.024744,-0.000436
2009-04-15,TECL,TECL,0.75,0.0,0.25,-0.014462,0.0,-0.014462,1.0157,-0.0338,-0.003022,-0.019283,0.0
2009-04-16,TECL,TECL,0.75,0.0,0.25,0.071309,0.0,0.071309,1.0882,0.0,0.029705,0.09486,0.000654
2009-04-17,TECL,TECL,0.75,0.0,0.25,-0.000745,0.0,-0.000745,1.0873,-0.0007,-0.001775,-0.00063,-0.00109
2009-04-20,TECL,TECL,0.75,0.0,0.25,-0.072479,0.0,-0.072479,1.0085,-0.0732,-0.031834,-0.096784,0.000437
2009-04-21,TECL,TECL,0.75,0.0,0.25,0.039474,0.0,0.039474,1.0483,-0.0366,0.017052,0.052705,-0.000218
2009-04-22,TECL,TECL,0.75,0.0,0.25,0.005883,0.0,0.005883,1.0545,-0.0309,0.004786,0.007626,0.000654
2009-04-23,TECL,TECL,0.75,0.0,0.25,0.010968,0.0,0.010968,1.0661,-0.0203,0.004778,0.014478,0.000436
2009-04-24,TECL,TECL,0.75,0.0,0.25,0.045978,0.0,0.045978,1.1151,0.0,0.014222,0.061304,0.0
2009-04-27,TECL,TECL,0.75,0.0,0.25,-0.010369,0.0,-0.010369,1.1035,-0.0104,-0.004674,-0.013753,-0.000218
2009-04-28,TECL,TECL,0.75,0.0,0.25,-0.012263,0.0,-0.012263,1.09,-0.0225,-0.000591,-0.016424,0.000218
2009-04-29,TECL,TECL,0.75,0.0,0.25,0.043896,0.0,0.043896,1.1378,0.0,0.011171,0.058601,-0.000218
2009-04-30,TECL,TECL,0.75,0.0,0.25,0.009821,0.0,0.009821,1.149,0.0,0.002908,0.013095,0.0
2009-05-01,TECL,TECL,0.75,0.0,0.25,0.014184,0.0,0.014184,1.1653,0.0,0.013332,0.018801,0.000332
2009-05-04,TECL,TECL,0.75,0.0,0.25,0.041844,0.0,0.041844,1.2141,0.0,0.018305,0.056228,-0.001308
2009-05-05,TECL,TECL,0.75,0.0,0.25,-0.010183,0.0,-0.010183,1.2017,-0.0102,-0.006171,-0.01365,0.000218
2009-05-06,TECL,TECL,0.75,0.0,0.25,-0.003168,0.0,-0.003168,1.1979,-0.0133,0.005655,-0.004152,-0.000218
2009-05-07,TECL,TECL,0.75,0.0,0.25,-0.071707,0.0,-0.071707,1.112,-0.0841,-0.038232,-0.095609,0.0
2009-05-08,TECL,TECL,0.75,0.0,0.25,-0.004094,0.0,-0.004094,1.1075,-0.0878,-0.001161,-0.005532,0.000218
2009-05-11,TECL,TECL,0.75,0.0,0.25,0.005044,0.0,0.005044,1.113,-0.0832,0.002927,0.006799,-0.000218
2009-05-12,TECL,TECL,0.75,0.0,0.25,-0.014054,0.0,-0.014054,1.0974,-0.0961,-0.00525,-0.01903,0.000873
2009-05-13,TECL,TECL,0.75,0.0,0.25,-0.057423,0.0,-0.057423,1.0344,-0.148,-0.025223,-0.076345,-0.000655
2009-05-14,TECL,TECL,0.75,0.0,0.25,0.029526,0.0,0.029526,1.0649,-0.1229,0.010828,0.039295,0.000219
