kind,trend_n,trend_buffer,prox_n,prox_thr,mom_n,mom_thr,vol_n,vol_max,abs_vol_max,vix_max,require_slope,confirm_style,confirm_up,cb_vol_pct,cb_drop,cb_drop_n,cb_vix,crash_mom_n,crash_mom_thr,crash_below_n,crash_vol_min,crash_dd_n,crash_dd,crash_vix_min,crash_slope_n,crash_confirm,IS_CAGR,IS_maxDD,IS_Sharpe,IS_Calmar,OOS_CAGR,OOS_maxDD,OOS_Sharpe,OOS_Calmar,ALL_CAGR,ALL_maxDD,ALL_Sharpe,ALL_Calmar,trades_per_yr,vol,pct_BIL,pct_TECL,pct_TECS,pct_XLK
v2,100,0.0,60,0.96,60,0.0,20,0.7,,,True,sym,5,0.95,,10,,10,-0.03,,,120,,,,1,0.023121190170191763,-0.7001245825568956,0.26435328721027224,0.03302439415246903,-0.0872463471310555,-0.824118341489859,0.16688505022293157,-0.10586628489948381,-0.016589367748038986,-0.8288565018269642,0.21933896298168332,-0.020014764572000975,24.11128703913142,0.5342802304978611,0.17145442207645328,0.5048631531327754,0.13956118525220537,0.18412123953856593
v2,100,0.0,60,0.96,60,0.0,20,0.7,,,True,sym,5,0.95,,10,,10,-0.03,,,120,,,,3,0.15756244132318664,-0.6877367116386023,0.5517688601502058,0.22910285092645147,-0.09107334786022592,-0.8313764838901154,0.12346488399716235,-0.10954525371475776,0.06077334696287151,-0.8313764838901153,0.35047962310771497,0.07309967041466625,15.219181180728341,0.502368446459609,0.196335670662746,0.5256729246776747,0.08278669984166478,0.1952047048179145
v2,100,0.0,60,0.96,60,0.0,20,0.7,,,True,sym,5,0.95,,10,,10,-0.03,,,120,,,,5,0.201911734033708,-0.4601998654799243,0.6566482813351389,0.4387479205869437,0.035064565252640234,-0.5859817250104267,0.30521535070112155,0.05983900820800565,0.14011310637427687,-0.5859817250104262,0.49102881961821554,0.2391083209494014,13.338158787604614,0.4683047275408719,0.2123953856593531,0.5329111060845962,0.05315539470707985,0.20153811354897083
v2,100,0.0,60,0.96,60,0.0,20,0.7,,,True,sym,5,0.95,,10,,10,-0.03,,,120,,,100.0,1,0.24702195610128697,-0.5103838595817776,0.7437876880971397,0.483992492050402,0.1091864399150222,-0.6984424594142715,0.42075328777374804,0.15632846835598774,0.19728441910323968,-0.6984424594142713,0.6032941474882922,0.2824633818348996,13.566161501922641,0.45115626686131616,0.2101334539696901,0.5363040036190907,0.04297670210359647,0.2105858403076227
v2,100,0.0,60,0.96,60,0.0,20,0.7,,,True,sym,5,0.95,,10,,10,-0.03,,,120,,,100.0,3,0.2680817223740941,-0.5047387751505228,0.802468895051064,0.5311296368981103,0.1391712141489969,-0.6201349724540233,0.46648736984956685,0.22442084438209142,0.2220316666975215,-0.620134972454023,0.6615668359158403,0.3580376475445158,11.229133680162859,0.42351798506412475,0.2261931689662972,0.5363040036190907,0.026238407600090476,0.2112644198145216
v2,100,0.0,60,0.96,60,0.0,20,0.7,,,True,sym,5,0.95,,10,,10,-0.03,,,120,,,100.0,5,0.31502051280318066,-0.33222184101325836,0.9225004255740236,0.9482233673812216,0.35153318852174187,-0.3920920544306866,0.8467626485868013,0.8965577969494032,0.3326710086366951,-0.3920920544306863,0.8950931592046251,0.8484512881030707,10.203121465731735,0.39466694093407934,0.235919475231848,0.5363040036190907,0.0162859081655734,0.2114906129834879
v2,100,0.0,60,0.96,60,0.0,20,0.7,,,True,sym,5,0.95,,10,,10,-0.03,,,120,,25.0,,1,0.1136996793974887,-0.5643837046489955,0.46019260426163394,0.20145811876018183,-0.04040333096941373,-0.835634007664982,0.21341129579052243,-0.04835051062882546,0.05664200897941063,-0.8356340076649822,0.34284470253419175,0.06778327408871951,16.47319610947749,0.5008118049201493,0.2028952725627686,0.5311015607328659,0.06197692829676544,0.2040262384076001
v2,100,0.0,60,0.96,60,0.0,20,0.7,,,True,sym,5,0.95,,10,,10,-0.03,,,120,,25.0,,3,0.20290660280653072,-0.5224215124268454,0.6577152563115556,0.3883963389331975,0.026507683684301897,-0.7205994525718485,0.3045058724987892,0.0367856006408205,0.13716878452839798,-0.7205994525718482,0.4888719624062218,0.19035371736522574,11.685139108798914,0.47570358580849365,0.2207645329111061,0.5363040036190907,0.035512327527708665,0.20741913594209455
v2,100,0.0,60,0.96,60,0.0,20,0.7,,,True,sym,5,0.95,,10,,10,-0.03,,,120,,25.0,,5,0.24487263906160006,-0.4410144671064903,0.7667586693690874,0.5552485401855797,0.21187976752038207,-0.5391049933976737,0.5810980487423509,0.39302134113992115,0.23625050784777235,-0.539104993397673,0.6754708350998364,0.43822726693518343,10.65912689436779,0.4431399525387111,0.23207419135942095,0.5363040036190907,0.022393123727663423,0.20922868129382494
v2,100,0.0,60,0.96,60,0.0,20,0.7,,,True,sym,5,0.95,,10,,10,-0.03,,,120,,25.0,100.0,1,0.25390025590563803,-0.4777218916510715,0.7607065300643648,0.5314813081479779,0.10295511917013167,-0.7149046580229177,0.4074533390809375,0.14401237705578251,0.1988868682509637,-0.7149046580229177,0.6089601701301179,0.27820054886897655,12.426147930332503,0.4437121383341134,0.22189549875593756,0.5363040036190907,0.03098846414838272,0.210812033476589
