signal_date,entry_date,exit_date,asset,weight,days,ret_gross,cost,ret_net,equity_in,equity_out,underlying_ret,max_adverse
2009-01-02,2009-01-05,2009-03-23,BIL,1.0,54,0.00206,0.0,0.00206,1.0,1.0021,0.00206,-0.0024
2009-03-23,2009-03-24,2009-04-13,XLK,1.0,14,0.05021,0.001,0.04914,1.0021,1.0513,0.05021,-0.0519
2009-04-13,2009-04-14,2010-02-03,TECL,0.75,205,0.88988,0.001,0.88795,1.0513,1.9848,1.2547,-0.2196
2010-02-03,2010-02-04,2010-03-05,BIL,1.0,21,-0.00065,0.00075,-0.0014,1.9848,1.982,-0.00065,-0.0007
2010-03-05,2010-03-08,2010-03-12,XLK,1.0,5,0.01973,0.001,0.01872,1.982,2.0191,0.01973,-0.0009
2010-03-12,2010-03-15,2010-05-10,TECL,0.75,40,-0.0057,0.001,-0.0067,2.0191,2.0056,-0.01625,-0.2272
2010-05-10,2010-05-11,2010-08-06,BIL,1.0,62,-0.00044,0.00075,-0.00119,2.0056,2.0032,-0.00044,-0.0007
2010-08-06,2010-08-09,2010-08-16,XLK,1.0,6,-0.04354,0.001,-0.04449,2.0032,1.9141,-0.04354,-0.0517
2010-08-16,2010-08-17,2010-09-15,BIL,1.0,21,0.00022,0.001,-0.00078,1.9141,1.9126,0.00022,-0.0002
2010-09-15,2010-09-16,2010-09-24,XLK,1.0,7,0.03773,0.001,0.0367,1.9126,1.9828,0.03773,-0.0079
2010-09-24,2010-09-27,2010-11-08,TECL,0.75,31,0.22048,0.001,0.21926,1.9828,2.4175,0.30139,-0.041
2010-11-08,2010-11-09,2010-12-07,XLK,1.0,20,-0.01115,0.001,-0.01214,2.4175,2.3882,-0.01115,-0.0495
2010-12-07,2010-12-08,2011-03-21,TECL,0.75,71,0.0358,0.001,0.03478,2.3882,2.4712,0.04072,-0.2059
2011-03-21,2011-03-22,2011-04-04,BIL,1.0,10,-0.00044,0.00075,-0.00119,2.4712,2.4683,-0.00044,-0.0002
2011-04-04,2011-04-05,2011-05-27,TECL,0.75,38,0.01013,0.00075,0.00937,2.4683,2.4914,0.01097,-0.1018
2011-05-27,2011-05-31,2011-07-08,BIL,1.0,28,-0.00022,0.00075,-0.00097,2.4914,2.489,-0.00022,-0.0002
2011-07-08,2011-07-11,2011-07-19,XLK,1.0,7,-0.00076,0.001,-0.00178,2.489,2.4846,-0.00076,-0.015
2011-07-19,2011-07-20,2011-07-20,BIL,1.0,1,-0.00022,0.001,-0.00122,2.4846,2.4815,-0.00022,0.0
2011-07-20,2011-07-21,2011-07-27,XLK,1.0,5,-0.01176,0.001,-0.01274,2.4815,2.4499,-0.01176,-0.0265
2011-07-27,2011-07-28,2011-08-01,BIL,1.0,3,0.0,0.001,-0.001,2.4499,2.4475,0.0,0.0
